itterations,accs,epoch,train_loss,val_loss
0,38.11,0,220.28661012649536,42.46043264865875
0,62.53,5,105.97789496183395,22.698556780815125
0,70.11,10,77.64180248975754,17.748279213905334
0,74.72,15,64.44829320907593,14.688679456710815
0,77.15,20,54.906359165906906,13.412962138652802
0,79.46,25,48.60568931698799,12.435308277606964
0,79.39,30,43.194771111011505,12.355295836925507
0,80.55,35,38.755024433135986,11.645090341567993
0,80.45,40,35.314786821603775,12.330716609954834
0,80.96,45,32.18271268904209,12.510105788707733
0,80.56,50,29.8174337297678,12.948826432228088
0,81.21,55,27.502053439617157,12.698125958442688
0,81.74,60,25.667837500572205,12.354727745056152
0,82.01,65,23.96540378034115,13.06440156698227
0,82.24,70,22.47313918173313,12.435929715633392
0,82.48,75,21.70266816020012,12.407847583293915
0,82.58,80,20.45105266571045,12.522255450487137
0,82.83,85,18.698945805430412,12.372111320495605
0,82.86,90,17.785510420799255,12.956455886363983
0,82.46,95,16.3830359429121,13.781369656324387
0,84.92,100,10.92335270345211,11.764868170022964
0,85.14,105,5.459008144214749,13.100680410861969
0,85.15,110,4.653018014505506,13.921947062015533
0,85.2,115,3.8879237566143274,14.503405392169952
0,85.39,120,3.2749449964612722,15.120544493198395
0,85.36,125,3.3206000300124288,15.465980768203735
0,85.45,130,2.4489532681182027,15.859541356563568
0,85.45,135,2.4520356887951493,16.028859078884125
0,85.3,140,2.256516649387777,16.407820284366608
0,85.19,145,1.971585773397237,16.793753445148468
0,85.28,150,1.773573358077556,16.996944844722748
0,85.4,155,1.589484751690179,16.897818326950073
0,85.43,160,1.4559118347242475,16.883301496505737
0,85.44,165,1.511256777215749,16.94617211818695
0,85.42,170,1.4028716827742755,17.008194625377655
0,85.41,175,1.442254092078656,16.98616236448288
0,85.54,180,1.2672476153820753,17.023027658462524
0,85.4,185,1.3308887388557196,17.009475111961365
0,85.46,190,1.2704088387545198,17.123150765895844
0,85.48,195,1.348832592368126,17.1139919757843
0,85.44,200,1.2537392990197986,17.265074968338013
1,43.52,0,203.9198911190033,30.82985007762909
1,65.51,5,102.38825011253357,19.601140022277832
1,71.55,10,76.07696050405502,16.846491932868958
1,74.53,15,63.463670432567596,14.952600002288818
1,76.79,20,54.165344178676605,13.643656134605408
1,78.8,25,47.96560055017471,12.65693974494934
1,80.56,30,43.83952036499977,11.836316227912903
1,80.74,35,38.922091603279114,11.839929759502411
1,80.93,40,35.280356734991074,12.221039235591888
1,81.19,45,32.14575758576393,12.256580621004105
1,80.63,50,29.420139253139496,12.967995405197144
1,81.03,55,27.336710825562477,12.695989191532135
1,82.29,60,25.05234968662262,11.87846726179123
1,82.26,65,23.984271690249443,12.421615719795227
1,82.46,70,22.460017397999763,12.651202738285065
1,81.51,75,20.4705823212862,13.732031285762787
1,81.88,80,19.90242624282837,13.63543826341629
1,81.5,85,17.82167774438858,14.026564478874207
1,81.87,90,16.93276810646057,14.090069830417633
1,82.16,95,16.011278472840786,13.86258578300476
1,85.04,100,9.896029893308878,11.673972576856613
1,85.36,105,5.149555204436183,12.988113582134247
1,85.42,110,3.8237429093569517,14.130311965942383
1,85.16,115,3.4535391414538026,14.714159160852432
1,85.53,120,2.743687078356743,15.307348012924194
1,85.06,125,2.459421352483332,16.032509326934814
1,85.23,130,2.3419470051303506,16.18564134836197
1,85.17,135,2.02821680996567,16.595783948898315
1,85.38,140,1.9604113874956965,16.68918341398239
1,85.15,145,1.79021872067824,17.015468657016754
1,85.36,150,1.4908037004061043,17.14196079969406
1,85.45,155,1.3753311755135655,17.17543375492096
1,85.49,160,1.2682527399156243,17.118382215499878
1,85.49,165,1.2227535154670477,17.200982689857483
1,85.4,170,1.1440352499485016,17.22262579202652
1,85.5,175,1.1732902594376355,17.217528760433197
1,85.5,180,1.2335174209438264,17.374643564224243
1,85.44,185,1.1552112365607172,17.35916805267334
1,85.44,190,1.234798883087933,17.38269168138504
1,85.35,195,1.0718413146678358,17.424053132534027
1,85.55,200,0.9846522817388177,17.470815539360046
2,42.13,0,211.304736495018,30.78888249397278
2,63.16,5,108.90258151292801,21.325533151626587
2,70.43,10,79.24169754981995,17.040631473064423
2,74.75,15,63.865876376628876,14.593461394309998
2,75.83,20,55.319520592689514,13.973194241523743
2,79.46,25,48.2044141292572,12.408215343952179
2,79.44,30,42.333329528570175,12.726379156112671
2,79.56,35,38.276312947273254,13.000353693962097
2,80.72,40,35.30693298578262,12.00141504406929
2,81.5,45,31.07053942978382,12.097537338733673
2,80.92,50,28.618711307644844,12.740871667861938
2,80.57,55,26.84163573384285,13.06691062450409
2,81.39,60,24.226458609104156,12.906564056873322
2,81.34,65,22.780434250831604,13.277304291725159
2,82.25,70,21.392560750246048,12.621163338422775
2,81.65,75,19.86156126856804,13.426392197608948
2,81.63,80,18.783382892608643,13.95471054315567
2,82.25,85,17.316688001155853,13.707644820213318
2,81.81,90,17.019485592842102,14.244594812393188
2,82.57,95,15.633213460445404,13.882589280605316
2,83.97,100,10.244842417538166,12.53765919804573
2,84.71,105,4.67374412342906,14.14921498298645
2,84.71,110,3.5225794538855553,15.047181129455566
2,85.04,115,2.9670063899829984,15.559221982955933
2,84.76,120,2.6727324635721743,16.10172563791275
2,84.92,125,2.3413888439536095,16.178621292114258
2,84.96,130,2.041003877297044,16.682122886180878
2,85.0,135,1.9463316909968853,16.959211766719818
2,85.2,140,1.625704679172486,16.997909724712372
2,85.17,145,1.406835534144193,17.564278185367584
2,85.12,150,1.2583996700122952,17.732975721359253
2,85.15,155,1.344611408887431,17.720233857631683
2,85.3,160,1.1719590341672301,17.62310618162155
2,85.22,165,1.0818317718803883,17.655794501304626
2,85.26,170,1.0604240209795535,17.693074941635132
2,85.24,175,0.9891908334102482,17.72050279378891
2,85.24,180,1.0897048062179238,17.780707836151123
2,85.23,185,0.9512764693936333,17.834972858428955
2,85.19,190,1.0631618769839406,17.774020493030548
2,85.16,195,1.0608871376607567,17.815549314022064
2,85.28,200,0.8829818146768957,17.8750878572464
3,39.2,0,208.76286029815674,36.58446741104126
3,60.98,5,110.85788488388062,22.13197362422943
3,69.59,10,79.3590527176857,17.256637632846832
3,74.78,15,64.10087537765503,14.802204132080078
3,77.84,20,55.26770552992821,12.952784299850464
3,78.29,25,48.40788075327873,12.89381492137909
3,80.19,30,43.30204823613167,12.025332748889923
3,79.21,35,39.0022186934948,13.031915426254272
3,79.95,40,35.399867326021194,12.487114548683167
3,80.57,45,31.7840593457222,12.805228173732758
3,81.09,50,29.544518157839775,12.409881711006165
3,81.81,55,26.98339334130287,12.327706336975098
3,81.34,60,25.18373304605484,12.767581760883331
3,81.04,65,23.94119168817997,13.690830826759338
3,81.18,70,21.612361937761307,13.587413609027863
3,82.04,75,20.385568238794804,13.130467802286148
3,82.1,80,18.972285196185112,13.15428912639618
3,81.54,85,17.87347239255905,13.97466093301773
3,79.99,90,17.122323028743267,15.180675446987152
3,82.11,95,16.12862828373909,14.070951759815216
3,84.76,100,10.598822370171547,11.969123661518097
3,85.03,105,5.2190465070307255,13.643769323825836
3,85.15,110,3.916407758370042,14.791436672210693
3,85.11,115,3.1423139683902264,15.524942755699158
3,85.04,120,2.862231384962797,15.8313609957695
3,85.01,125,2.5108681693673134,16.34883189201355
3,85.32,130,2.2292131758295,16.65903252363205
3,85.03,135,2.1434778957627714,16.85598313808441
3,84.98,140,1.9409567015245557,17.213078439235687
3,85.09,145,1.583685178309679,17.390389502048492
3,85.2,150,1.5238057220121846,17.69246470928192
3,85.29,155,1.3466736255213618,17.665254592895508
3,85.16,160,1.2823785648215562,17.76453846693039
3,85.41,165,1.2242156274151057,17.71234428882599
3,85.33,170,1.2284823113586754,17.73979425430298
3,85.33,175,1.1851076986640692,17.857085943222046
3,85.34,180,1.0402359473519027,17.81211805343628
3,85.3,185,1.1985777870286256,17.856760561466217
3,85.33,190,1.1222207609098405,17.832433938980103
3,85.37,195,1.0395497176796198,17.83059847354889
3,85.49,200,1.1270054974593222,17.94389444589615
4,38.94,0,204.58794140815735,33.218971729278564
4,64.27,5,109.18572109937668,20.201690793037415
4,70.69,10,82.65074324607849,18.628467857837677
4,73.94,15,66.29422956705093,15.904496550559998
4,77.03,20,55.99143674969673,13.526507258415222
4,76.86,25,48.94289109110832,14.100737988948822
4,79.13,30,43.505090802907944,12.757334053516388
4,79.86,35,39.08482301235199,12.600437581539154
4,80.77,40,35.573383152484894,11.958213686943054
4,79.73,45,32.082734793424606,13.024922549724579
4,81.2,50,29.65302938222885,12.460742861032486
4,80.33,55,26.912756517529488,13.654959976673126
4,81.34,60,24.56530413031578,13.017006397247314
4,81.85,65,22.753223195672035,12.915133774280548
4,81.62,70,21.899542406201363,13.383577764034271
4,82.2,75,20.33194214105606,12.625959634780884
4,81.02,80,19.058569103479385,14.186710000038147
4,81.63,85,18.434948340058327,13.835550904273987
4,82.52,90,16.283738024532795,13.571224510669708
4,81.81,95,15.299138247966766,14.217600226402283
4,84.43,100,9.649143241345882,12.60527628660202
4,84.7,105,4.755928203463554,14.147472500801086
4,84.87,110,3.678589953109622,15.093256950378418
4,85.04,115,3.1420573219656944,15.667051315307617
4,85.29,120,2.5172168472781777,16.22683846950531
4,84.99,125,2.395064110867679,16.485944211483
4,84.88,130,2.156646297313273,16.903856098651886
4,84.99,135,1.9762004539370537,17.162007331848145
4,84.82,140,1.7253518318757415,17.567296385765076
4,84.78,145,1.4949899585917592,17.745429754257202
4,85.13,150,1.5116190505214036,17.75303226709366
4,85.18,155,1.2252777153626084,17.732464730739594
4,85.23,160,1.2182542262598872,17.767610013484955
4,85.11,165,1.137825334444642,17.76731103658676
4,85.0,170,1.1830714298412204,17.821347296237946
4,85.23,175,1.092871002620086,17.825245797634125
4,85.06,180,1.118083902169019,17.902375280857086
4,85.07,185,0.9705799533985555,17.91210174560547
4,85.1,190,0.9060706461314112,18.019524097442627
4,85.06,195,0.9640342141501606,17.988825976848602
4,85.16,200,1.0852294059004635,18.04355150461197
5,40.91,0,208.04349374771118,31.73753309249878
