itterations,accs,epoch,train_loss,val_loss
0,39.09,0,254.96069180965424,33.214723944664
0,61.42,5,114.58197975158691,21.835758924484253
0,70.23,10,83.69203734397888,16.919368505477905
0,74.79,15,68.50239324569702,14.737747013568878
0,76.69,20,57.82302698493004,13.79729014635086
0,77.97,25,51.26776045560837,13.028995990753174
0,78.82,30,45.53586933016777,12.648880153894424
0,79.24,35,40.408593237400055,12.476197123527527
0,80.41,40,37.3030800819397,12.04876321554184
0,80.45,45,33.599645495414734,12.331673324108124
0,80.52,50,30.983079060912132,12.452413260936737
0,80.15,55,28.478893473744392,12.804769515991211
0,79.98,60,25.79826259613037,13.079415500164032
0,81.17,65,24.12446327507496,12.743705570697784
0,80.69,70,23.356917172670364,13.269546866416931
0,80.14,75,21.01662404835224,13.76548558473587
0,80.47,80,19.390156395733356,13.886250019073486
0,80.97,85,19.24508187174797,13.452379405498505
0,80.95,90,17.99465298652649,13.775358140468597
0,81.18,95,16.412978030741215,13.804239749908447
0,82.72,100,10.972566738724709,12.927908599376678
0,82.97,105,5.343034818768501,14.6327623128891
0,83.06,110,4.122423579916358,15.69588828086853
0,83.13,115,3.492629922926426,16.112842202186584
0,83.2,120,2.878493898548186,16.65477019548416
0,83.15,125,2.6200674390420318,17.307225108146667
0,83.02,130,2.4579814625903964,17.971383333206177
0,82.91,135,2.172973240725696,18.226795434951782
0,83.19,140,1.948311147512868,18.265941202640533
0,82.78,145,1.8668001522310078,18.698459327220917
0,83.13,150,1.5443835062906146,18.71280336380005
0,83.27,155,1.4792607529088855,18.694790422916412
0,83.37,160,1.4063738388940692,18.707672238349915
0,83.42,165,1.2597256172448397,18.715080440044403
0,83.37,170,1.2662126317154616,18.767398238182068
0,83.5,175,1.3247658666223288,18.77252823114395
0,83.41,180,1.1356311819981784,18.814790785312653
0,83.47,185,1.2616960150189698,18.84486675262451
0,83.51,190,1.1229217543732375,18.885373771190643
0,83.46,195,1.1574787916615605,18.912277400493622
1,40.92,0,255.9791796207428,32.72662913799286
1,62.54,5,109.30254977941513,21.181665360927582
1,70.54,10,81.06985688209534,16.781989872455597
1,74.57,15,65.01741248369217,14.734100937843323
1,77.39,20,56.096116334199905,13.23869103193283
1,78.07,25,49.29446479678154,12.656520247459412
1,79.43,30,43.543876618146896,12.28976047039032
1,79.87,35,39.40492871403694,12.3055819272995
1,80.28,40,35.893437415361404,12.174667745828629
1,80.09,45,33.452809512615204,12.495514571666718
1,81.23,50,30.518775686621666,11.945526748895645
1,81.17,55,27.895177736878395,12.234260022640228
1,81.67,60,25.98383419215679,12.254286110401154
1,80.91,65,23.730620115995407,12.9688081741333
1,81.56,70,22.641788810491562,12.689216673374176
1,81.89,75,20.808901995420456,12.192594021558762
1,80.65,80,19.61282967031002,13.633673787117004
1,81.23,85,18.693278715014458,13.625076234340668
1,82.1,90,17.610046200454235,13.065546870231628
1,81.51,95,16.519548289477825,13.861138820648193
1,83.39,100,10.549724120646715,12.907584607601166
1,83.54,105,5.399973491206765,14.582674741744995
1,83.44,110,4.159711230546236,15.620134890079498
1,83.67,115,3.5229491712525487,16.04179859161377
1,83.46,120,2.8753415001556277,16.672183632850647
1,83.32,125,2.758802941069007,17.38507354259491
1,83.23,130,2.4538550470024347,17.887382745742798
1,83.33,135,2.0879017119295895,18.046919763088226
1,83.36,140,1.9887732798233628,18.31870597600937
1,83.3,145,1.8157227355986834,18.752559781074524
1,83.38,150,1.577698650304228,18.830112636089325
1,83.42,155,1.339531879639253,18.77981323003769
1,83.45,160,1.4140599202364683,18.837824165821075
1,83.49,165,1.3402893235906959,18.850893318653107
1,83.48,170,1.3602160001173615,18.890602350234985
1,83.49,175,1.2346022573765367,18.904824435710907
1,83.58,180,1.2189931422472,18.92456203699112
1,83.45,185,1.1096763513050973,18.997868955135345
1,83.51,190,1.1649192597251385,19.063292860984802
1,83.48,195,1.1744767078198493,19.066725313663483
2,33.76,0,287.75098621845245,37.54655647277832
