accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.1224,0.36817288398742676,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,0
0.1318,1.8201704025268555,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,5
0.1782,1.7791898250579834,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,10
0.2171,1.8063938617706299,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,15
0.2259,1.8679778575897217,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,20
0.2399,1.8032336235046387,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,25
0.2707,1.7902476787567139,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,30
0.2729,1.8216912746429443,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,35
0.2905,1.92366623878479,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,40
0.3154,1.8563642501831055,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,45
0.3121,1.8350350856781006,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,50
0.3223,1.8123583793640137,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,55
0.3154,1.8085758686065674,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,60
0.3255,1.8152422904968262,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,65
0.332,1.8317923545837402,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,70
0.3356,1.8131060600280762,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,75
0.3394,1.8815131187438965,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,80
0.3338,1.8088598251342773,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,85
0.3402,1.8272016048431396,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,90
0.3312,1.8303773403167725,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,95
0.3382,1.8156177997589111,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,100
0.3373,1.8048779964447021,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,105
0.3505,1.8356261253356934,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,110
0.341,1.8279545307159424,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,115
0.3454,1.8238353729248047,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,120
0.3455,1.8343064785003662,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,125
0.3458,1.8522162437438965,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,130
0.3499,1.845433235168457,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,135
0.3425,1.8438572883605957,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,140
0.3471,1.8151745796203613,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,145
0.3432,1.823075532913208,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,150
0.3443,1.788999319076538,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,155
0.3448,1.84511137008667,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,160
0.346,1.8403687477111816,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,165
0.3463,1.8533916473388672,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,170
0.347,1.866070032119751,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,175
0.3466,1.8131399154663086,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,180
0.3476,1.849674940109253,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,185
0.3478,1.8653507232666016,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,190
0.3468,1.8196454048156738,216.0,1.0,30.0,91.0,32.0,88.0,30.0,228.0,138.0,147.0,195
0.1451,0.34955477714538574,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,0
0.1555,1.8688387870788574,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,5
0.2128,1.8420417308807373,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,10
0.2492,1.8642239570617676,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,15
0.2375,1.8300845623016357,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,20
0.2851,1.8034114837646484,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,25
0.2838,1.7922379970550537,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,30
0.2856,1.8231086730957031,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,35
0.3042,1.935802936553955,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,40
0.3347,1.8060941696166992,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,45
0.32,1.8961389064788818,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,50
0.3005,1.8439269065856934,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,55
0.334,1.8248510360717773,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,60
0.3407,1.8354244232177734,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,65
0.3375,1.8207523822784424,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,70
0.3469,1.826847791671753,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,75
0.3447,1.798351526260376,98.0,112.0,139.0,211.0,141.0,93.0,71.0,22.0,112.0,1.0,80
