accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.2621,586.0,1.0,274.0,991.0,885.0,335.0,209.0,524.0,134.0,81.0,50
0.2987,586.0,1.0,274.0,991.0,885.0,335.0,209.0,524.0,134.0,81.0,60
0.1819,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,10
0.2751,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,20
0.3476,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,30
0.3683,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,40
0.4033,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,50
0.4202,801.0,761.0,769.0,758.0,785.0,329.0,25.0,704.0,532.0,160.0,60
0.1964,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,10
0.2399,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,20
0.2641,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,30
0.3006,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,40
0.3262,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,50
0.3521,517.0,138.0,650.0,440.0,848.0,738.0,864.0,81.0,957.0,76.0,60
0.1566,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,10
0.2572,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,20
0.323,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,30
0.3886,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,40
0.4049,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,50
0.4191,145.0,690.0,679.0,30.0,601.0,860.0,343.0,830.0,954.0,286.0,60
0.1552,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,10
0.1998,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,20
0.2507,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,30
0.2895,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,40
0.3214,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,50
0.3275,9.0,260.0,302.0,979.0,361.0,687.0,392.0,304.0,39.0,999.0,60
0.2274,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,10
0.3261,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,20
0.3807,639.0,337.0,734.0,712.0,900.0,691.0,706.0,910.0,431.0,390.0,30
