accs,training_times,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.5064,4.462403774261475,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,50
0.5201,4.390101671218872,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,55
0.5257,4.3792030811309814,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,60
0.5184,4.450082778930664,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,65
0.5319,4.475853443145752,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,70
0.537,4.380062818527222,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,75
0.5425,4.43926477432251,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,80
0.537,4.495819330215454,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,85
0.5406,4.408909559249878,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,90
0.5456,4.47940993309021,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,95
0.5586,4.4334142208099365,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,100
0.5612,4.54084849357605,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,105
0.5625,4.449914455413818,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,110
0.5609,4.385704040527344,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,115
0.5591,4.505325794219971,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,120
0.5594,4.411055088043213,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,125
0.5598,4.492671966552734,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,130
0.5595,4.479637861251831,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,135
0.5586,4.452457427978516,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,140
0.558,4.486255168914795,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,145
0.562,4.58114218711853,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,150
0.5592,4.389461994171143,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,155
0.5586,4.436808109283447,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,160
0.5586,4.5201170444488525,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,165
0.5582,4.456858158111572,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,170
0.5581,4.47955846786499,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,175
0.5587,4.465911388397217,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,180
0.5609,4.438911437988281,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,185
0.5607,4.435786962509155,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,190
0.5597,4.514938831329346,642.0,771.0,622.0,572.0,67.0,424.0,835.0,586.0,209.0,268.0,195
0.1266,0.7329490184783936,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,0
0.1836,3.7708723545074463,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,5
0.2384,3.706120491027832,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,10
0.2902,3.7843704223632812,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,15
0.3056,3.709181308746338,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,20
0.3385,3.858480453491211,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,25
0.3377,3.8256497383117676,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,30
0.3476,3.7892966270446777,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,35
0.3596,3.7945826053619385,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,40
0.3655,3.732243299484253,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,45
0.3789,3.7939603328704834,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,50
0.3915,3.758981466293335,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,55
0.3906,3.7236618995666504,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,60
0.393,3.7930727005004883,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,65
0.3876,3.7245543003082275,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,70
0.3971,3.6993637084960938,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,75
0.4066,3.737070322036743,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,80
0.4056,3.7567520141601562,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,85
0.3957,3.8376107215881348,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,90
0.4048,3.7673559188842773,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,95
0.4137,3.8080122470855713,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,100
0.4198,3.7830114364624023,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,105
0.4218,3.8238179683685303,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,110
0.4235,3.879890203475952,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,115
0.4202,3.7823636531829834,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,120
0.4173,3.7270283699035645,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,125
0.4203,3.7158100605010986,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,130
0.4209,3.770944833755493,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,135
0.4189,3.8795623779296875,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,140
0.4217,3.7233712673187256,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,145
0.4178,3.8020663261413574,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,150
0.4192,3.7715654373168945,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,155
0.4202,3.7569146156311035,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,160
0.4197,3.7826156616210938,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,165
0.4186,3.7144672870635986,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,170
0.4188,3.8183770179748535,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,175
0.4189,3.7548909187316895,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,180
0.4188,3.6996004581451416,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,185
0.419,3.7416155338287354,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,190
0.4191,3.7150728702545166,238.0,40.0,897.0,672.0,194.0,786.0,303.0,532.0,155.0,83.0,195
0.1,0.9881300926208496,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,0
0.2841,5.118838787078857,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,5
0.3604,5.061583757400513,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,10
0.3853,5.049883127212524,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,15
0.4196,5.070355176925659,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,20
0.4492,5.099468231201172,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,25
0.4682,5.182955503463745,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,30
0.4752,5.063884735107422,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,35
0.4873,5.143045425415039,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,40
0.5019,5.072687149047852,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,45
0.5192,5.097652912139893,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,50
0.5207,5.061482906341553,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,55
0.5222,5.079461574554443,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,60
0.5246,5.1124162673950195,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,65
0.5358,5.0134594440460205,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,70
0.5372,5.093557596206665,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,75
0.5428,5.078672409057617,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,80
0.5364,5.122996091842651,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,85
0.5372,5.117081642150879,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,90
0.5451,5.111862421035767,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,95
0.5462,5.006451845169067,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,100
0.5529,5.061628818511963,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,105
0.5543,4.992543935775757,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,110
0.5497,5.036144971847534,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,115
0.5495,5.048813581466675,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,120
0.5499,5.154578685760498,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,125
0.5517,5.020024538040161,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,130
0.5488,5.074517250061035,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,135
0.5495,5.143482208251953,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,140
0.552,5.123769283294678,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,145
0.5461,5.1562886238098145,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,150
0.547,5.088357925415039,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,155
0.5486,5.0444557666778564,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,160
0.5476,5.2191853523254395,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,165
0.5479,5.023757457733154,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,170
0.548,5.055872440338135,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,175
0.5487,5.051297187805176,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,180
0.5487,5.056592702865601,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,185
0.549,5.095220327377319,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,190
0.5485,5.039037704467773,400.0,615.0,539.0,765.0,353.0,712.0,699.0,848.0,5.0,939.0,195
0.1518,0.9393389225006104,172.0,956.0,45.0,46.0,571.0,527.0,976.0,334.0,964.0,986.0,0
0.2078,4.779357433319092,172.0,956.0,45.0,46.0,571.0,527.0,976.0,334.0,964.0,986.0,5
0.2898,4.762257814407349,172.0,956.0,45.0,46.0,571.0,527.0,976.0,334.0,964.0,986.0,10
0.3188,4.789911985397339,172.0,956.0,45.0,46.0,571.0,527.0,976.0,334.0,964.0,986.0,15
